10	45.8813	81.8778	131.502	288.768	566.115	1132.43
11	28.3081	45.7903	70.7254	246.718	288.159	567.383
12	20.0095	28.2668	41.2144	82.5044	189.887	288.824
13	15.5524	19.7387	27.0987	45.8089	82.1053	151.45
14	13.1969	15.7055	19.1774	29.2013	46.3297	84.6495
15	11.9795	13.8165	15.8545	22.7686	28.6998	46.4205
16	11.6133	13.5268	15.1456	18.9446	24.6938	28.9493
17	11.3362	11.6905	12.9628	16.6792	20.8401	24.0639
18	11.1679	23.7635	12.1643	16.5408	23.939		22.3088
19	10.7723	11.003		13.6738	15.473		23.0055	29.3609
20	13.7733	10.7878	11.7428	15.2126	21.9933	28.1871
21	14.345		10.4919	10.3565	16.377		21.8174	28.0296
22	15.8214	13.4487	13.2515	16.3121	24.0809	28.596
23	15.1306	16.8865	13.2162	21.747		62.8766	35.9731
24	16.0587	15.7281	15.8423	27.7027	78.1076	91.5174
25	15.9381	15.8264	16.4678	30.2558	84.7766	112.03
26	16.092		15.6918	16.133		30.8797	86.6084	121.106
27	15.9207	15.6938	15.9218	31.5665	87.1182	121.301
28	15.8781	15.9384	12.9598	30.8195	86.0515	119.313
