npad	31	exponent	8	time	56.32
npad	31	exponent	9	time	29.264
npad	31	exponent	10	time	28.036
npad	31	exponent	11	time	3.54775
npad	31	exponent	12	time	2.83312
npad	31	exponent	13	time	4.9195
npad	31	exponent	14	time	11.6482
npad	31	exponent	15	time	12.3337
npad	31	exponent	16	time	12.1506
npad	31	exponent	17	time	11.5424
npad	31	exponent	18	time	12.9495
npad	31	exponent	19	time	19.8747
npad	31	exponent	20	time	18.9251
npad	31	exponent	21	time	25.3636
npad	31	exponent	22	time	51.7352
npad	31	exponent	23	time	58.7033
npad	31	exponent	24	time	56.2928
npad	31	exponent	25	time	57.3813
npad	31	exponent	26	time	56.9503
npad	31	exponent	27	time	55.5119
npad	31	exponent	28	time	54.7324
